parcel,elevation,ndvi,lai,diseased
"[[454, 716], [455, 719], [480, 713], [479, 710]]",207.3000177556818,-0.315825401096169,0.014657630412336711,1
"[[479, 710], [480, 713], [505, 707], [504, 704]]",206.98851207386363,-0.2795085040005771,0.019726240851888618,0
"[[504, 704], [505, 707], [532, 702], [531, 698]]",206.9617217092803,-0.2724382227117365,0.017469393579543264,0
"[[434, 705], [435, 709], [460, 703], [459, 699]]",207.5605896441606,-0.33335856973689837,0.01569003983729217,1
"[[459, 699], [460, 703], [485, 697], [484, 693]]",207.31948562956205,-0.2232450359929217,0.03828067298145981,0
"[[484, 693], [485, 697], [511, 691], [510, 687]]",207.0436014524648,-0.24929669877173197,0.035319397352534296,0
"[[510, 687], [511, 691], [536, 685], [535, 681]]",206.86074361313868,-0.2434922656873717,0.03990990523048201,0
"[[535, 681], [536, 685], [569, 678], [568, 674]]",206.76924596207866,-0.15239949659867721,0.07725801427121178,0
"[[416, 694], [417, 697], [442, 691], [441, 688]]",207.75023082386363,-0.407535830411044,0.003448599496496505,2
"[[441, 688], [442, 691], [467, 685], [466, 682]]",207.68433948863637,-0.2220846176147461,0.0402094348556382,0
"[[466, 682], [467, 685], [493, 679], [492, 676]]",207.32015830592104,-0.20664652258948943,0.05468841962994159,0
"[[492, 676], [493, 679], [518, 673], [517, 670]]",206.97702414772726,-0.23914975253018467,0.04238523223419711,0
"[[517, 670], [518, 673], [544, 667], [543, 664]]",206.79877672697367,-0.17983811302522643,0.06557628362177056,0
"[[543, 664], [544, 667], [569, 661], [568, 658]]",206.62963423295454,-0.1624932770335346,0.09052075553292324,0
"[[568, 658], [569, 661], [593, 657], [592, 653]]",206.53033088235293,-0.14922586008280264,0.06329435627682678,0
"[[403, 682], [404, 686], [429, 680], [428, 676]]",208.02580406021897,-0.27774611641378966,0.02523708122633807,0
"[[428, 676], [429, 680], [454, 674], [453, 670]]",207.7472057481752,-0.2181689598981072,0.0394653491386858,0
"[[453, 670], [454, 674], [480, 668], [479, 664]]",207.46542143485917,-0.22810428243287853,0.03329593368515529,0
"[[479, 664], [480, 668], [505, 662], [504, 658]]",207.11236884124088,-0.31675347098468865,0.01642067639249604,1
