parcel,elevation,ndvi,lai,diseased
"[[454, 716], [455, 719], [480, 713], [479, 710]]",207.3000177556818,149.1818181818182,0.0006692182985454546,0
"[[479, 710], [480, 713], [505, 707], [504, 704]]",206.98851207386363,145.9909090909091,0.0006549041228727274,0
"[[504, 704], [505, 707], [532, 702], [531, 698]]",206.9617217092803,145.71212121212122,0.0006536535016363638,0
"[[434, 705], [435, 709], [460, 703], [459, 699]]",207.5605896441606,138.992700729927,0.0006235106920291972,0
"[[459, 699], [460, 703], [485, 697], [484, 693]]",207.31948562956205,150.27007299270073,0.0006741001269197081,0
"[[484, 693], [485, 697], [511, 691], [510, 687]]",207.0436014524648,144.55633802816902,0.0006484687461126761,0
"[[510, 687], [511, 691], [536, 685], [535, 681]]",206.86074361313868,139.8029197080292,0.0006271452727883213,0
"[[535, 681], [536, 685], [569, 678], [568, 674]]",206.76924596207866,143.56741573033707,0.0006440325158426967,0
"[[416, 694], [417, 697], [442, 691], [441, 688]]",207.75023082386363,128.0909090909091,0.0005746060832727273,0
"[[441, 688], [442, 691], [467, 685], [466, 682]]",207.68433948863637,147.28181818181818,0.0006606950429454546,0
"[[466, 682], [467, 685], [493, 679], [492, 676]]",207.32015830592104,142.59649122807016,0.0006396770223157895,0
"[[492, 676], [493, 679], [518, 673], [517, 670]]",206.97702414772726,146.1818181818182,0.0006557605265454546,0
"[[517, 670], [518, 673], [544, 667], [543, 664]]",206.79877672697367,145.31578947368422,0.0006518755875789474,0
"[[543, 664], [544, 667], [569, 661], [568, 658]]",206.62963423295454,141.5,0.000634758246,0
"[[568, 658], [569, 661], [593, 657], [592, 653]]",206.53033088235293,148.41176470588235,0.0006657638971764706,0
"[[403, 682], [404, 686], [429, 680], [428, 676]]",208.02580406021897,137.4160583941606,0.0006164379943357665,0
"[[428, 676], [429, 680], [454, 674], [453, 670]]",207.7472057481752,134.8102189781022,0.0006047483967591241,0
"[[453, 670], [454, 674], [480, 668], [479, 664]]",207.46542143485917,143.85211267605635,0.0006453096447042255,0
"[[479, 664], [480, 668], [505, 662], [504, 658]]",207.11236884124088,130.32116788321167,0.0005846108547153285,0
"[[504, 658], [505, 662], [530, 656], [529, 652]]",206.87548471715328,133.12408759124088,0.0005971845395036497,0
"[[529, 652], [530, 656], [556, 651], [555, 647]]",206.69700243794327,131.51063829787233,0.0005899467285957447,0
"[[555, 647], [556, 651], [581, 645], [580, 641]]",206.66397696167883,135.34306569343065,0.0006071387066277372,0
"[[580, 641], [581, 645], [609, 639], [608, 635]]",206.54364977384867,143.625,0.0006442908345000001,0
"[[394, 669], [395, 673], [420, 667], [419, 663]]",208.2623888001825,138.85401459854015,0.0006228885565839416,0
"[[419, 663], [420, 667], [445, 661], [444, 657]]",208.09948106751824,137.7007299270073,0.0006177150091970804,0
